Item No.,Description,Value in £,Shape,Weight (KG)
13470,Painting 14th Century,150000000,Rectangle,50
14508,Ceramic 11th Century,450000000,Pyramid,390
13491,Sculputure 19th Centruty,25000000,Pyramid,790
15258,Renaisance Painting,350000000,Square,130
15108,Painting 12th Century,32000000,Rectangle,138
14111,Ceramic 17th Century,50000000,Pyramid,477
14763,Ancient Mayan Statue,259000000,Pyramid,1299
14999,Porcelaine Vase 14th Century,19234000,Pyramid,39
15679,Ancient Mayan Statue,197000000,Square,1597
15987,Renaisance Painting,95000000,Rectangle,192
