Item No.,Description,Value in £,Shape,Weight (KG)
17516,Sculputure 9th Centruty,147859000,Pyramid,290
17518,Renaisance Painting,111427000,Pyramid,345
17575,Sculputure 19th Centruty,14500000,Sphere,198
17598,Ceramic 15th Century,17000000,Sphere,215
17612,Ancient Mayan Statue,292000000,Pyramid,290
17634,Ancient Roman Coin Gold 2nd Century AD,5900000,Sphere,176
17647,Ancient Greek Coin Gold 5th Century BC,8759000,Sphere,152
17648,Ancient Glass Vial 1st Century BC,19000000,Sphere,176
17678,Porcelaine Vase 15th Century,9744000,Sphere,198
17699,Sculputure 1st Centruty BC,97000000,Sphere,180
17748,Ancient Roman Coin Gold 1st Century AD,6970000,Sphere,6
17749,Ancient Greek Coin Gold 12th Century BC,49000000,Sphere,5
17769,Limited Edition Print 18th Century,200100,Sphere,2
