Item No.,Description,Value in £,Shape,Weight (KG)
18111,Sculputure 9th Centruty,147859000,Rectangle,497
18135,Renaisance Painting,111427000,Rectangle,324
18149,Sculputure 19th Centruty,14500000,Pyramid,2199
18176,Ceramic 15th Century,17000000,Sphere,597
18182,Ancient Phoenician  Statue 20th Century BC,492000000,Rectangle,392
18183,Ancient Roman Coin Gold 2nd Century AD,5900000,Square,567
18185,Ancient Greek Coin Gold 5th Century BC,8759000,Square,698
18194,Porcelaine Vase 15th Century,9744000,Square,435
18201,Ancient Mayan Statue,58700000,Rectangle,299
18211,Renaisance Painting,95000000,Square,571
